CountryName,CountryCode,CountryCodeID,ProductID,ProductName,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,ColourCode
Eritrea,EE,231,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413786911,0.178967039,0.628230949,0.967053443,1.376216099,69.73053823,72.51163457,76.98652663,82.42868323,85,92,89.8125,85,88.58301615,91.34687087,93.62005614,95.4184096,96.59649775,97.42959869,98.01623094,98.39414704,98.65135893,98.84554486,98.99867429,99.12176028,99.22261051,99.30721306,99.37952675,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCGGCCCCCCCCCCCCCCCCCxxxxxxxxxx
Egypt,EG,232,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75257259,26.4445596,39.07567848,47.99904954,61.68073407,70.1521192,77,87,91,94,95,95.4,97.8,98.63908095,99.0173054,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Ethiopia,EP,234,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,4,33.7211864,65,71,79.11968314,85.45860066,89.49113825,92.72131382,95.2985134,96.68987918,97.53932962,98.07394916,98.41715257,99.28618054,99.36143632,99.42650646,99.48352683,99.53406231,99.57928907,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCGGCGGCCCCCCCCCCCCCCCxxxxxxxxxx
Spain,ES,236,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34476706,43.85709559,56.5936377,67.3833463,76.06202081,83,91.4,95.1,94.8,97.9,97.9,98.9,98.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Estonia,ET,237,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,27.70615429,39.77368575,51.78091573,63.09771693,72.08009933,79.40664975,85,95,97,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Finland,FI,240,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09103681,40.30757191,52.31467435,63.28820951,72.26751235,80,85.66749953,90.94102922,95,97.24978408,98.36091918,99.01659469,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGCCGCCCGCCCCCCCCCCCCCCCxxxxxxxxxx
Fiji,FJ,241,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2.416486707,9.857913462,19.41051101,30,48.60876998,68.35,76.69702887,83.31795393,88.10666764,91.93407595,94.58708261,96.15389527,97.11374697,97.70872828,98.81521975,98.97449839,99.10222263,99.20642449,99.29351674,99.36773787,99.43199792,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCGCGCCCCCCCCCCCCCCCxxxxxxxxxx
French Polynesia,FP,242,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4.876783161,15,30,45,68,78,80,80,85,89.22768399,92.42564681,95.12648865,96.66231451,97.5680377,98.12707879,98.47981448,99.37728669,99.44033173,99.49573122,99.54494708,99.58908388,99.62899366,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
France,FR,243,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63868124,33.91711546,44.57671376,54.92711188,64.52248622,72.5,82.03125,91,98,98,98.18518519,98.59259259,99,99.12283395,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGCGGGCCGCCCCCCCCCCCCCCCxxxxxxxxxx
United Kingdom,GB,245,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,37.48635125,53.26577253,65.89858477,76.77835672,84.0719373,90,93,95,99.1,99.1,99.2,99.3,99.3,99.46021539,99.5133383,99.56069257,99.60328601,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
