Indicator,Country,2012_value,2013_value,2014_value,2015_value
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Ukraine,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,United Arab Emirates,,,85,93.7
Percentage of the population covered by at least an LTE/WiMAX mobile network.,United Kingdom,,,,89.5
Percentage of the population covered by at least an LTE/WiMAX mobile network.,United States,,,98.5,99.6
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Uruguay,,,,50
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Uzbekistan,,,1,10
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Vanuatu,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Vatican,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Venezuela,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Viet Nam,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Virgin Islands (US),,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Wallis and Futuna,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Yemen,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Zambia,,,0.46,1.34
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Zimbabwe,,,2,11
